provinsi_id,kabkota_id,kec_id,desa_id,vintage_year,kategori,count,kabkota_id_full,nama_kabkota,nama_desa,kbli2,sak_year,avg_pendapatan_kabkota_kbli,potensi_total
31,74,50,8,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Jembatan Lima,7,2021,4894601.686247883,9789203.372495767
31,74,50,9,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Tambora,7,2021,4894601.686247883,9789203.372495767
31,74,50,10,2018,kelompok_pertokoan,17,3174,Jakarta Barat,Roa Malaka,7,2021,4894601.686247883,83208228.66621402
31,74,50,11,2018,kelompok_pertokoan,0,3174,Jakarta Barat,Pekojan,7,2021,4894601.686247883,0.0
31,74,60,1,2018,kelompok_pertokoan,10,3174,Jakarta Barat,Krukut,7,2021,4894601.686247883,48946016.86247884
31,74,60,2,2018,kelompok_pertokoan,3,3174,Jakarta Barat,Maphar,7,2021,4894601.686247883,14683805.05874365
31,74,60,3,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Taman Sari,7,2021,4894601.686247883,9789203.372495767
31,74,60,4,2018,kelompok_pertokoan,80,3174,Jakarta Barat,Tangki,7,2021,4894601.686247883,391568134.8998307
31,74,60,5,2018,kelompok_pertokoan,10,3174,Jakarta Barat,Mangga Besar,7,2021,4894601.686247883,48946016.86247884
31,74,60,6,2018,kelompok_pertokoan,3,3174,Jakarta Barat,Keagungan,7,2021,4894601.686247883,14683805.05874365
31,74,60,7,2018,kelompok_pertokoan,1,3174,Jakarta Barat,Glodok,7,2021,4894601.686247883,4894601.686247883
31,74,60,8,2018,kelompok_pertokoan,7,3174,Jakarta Barat,Pinangsia,7,2021,4894601.686247883,34262211.80373518
31,74,70,1,2018,kelompok_pertokoan,4,3174,Jakarta Barat,Duri Kosambi,7,2021,4894601.686247883,19578406.744991533
31,74,70,2,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Rawa Buaya,7,2021,4894601.686247883,9789203.372495767
31,74,70,3,2018,kelompok_pertokoan,1,3174,Jakarta Barat,Kedaung Kali Angke,7,2021,4894601.686247883,4894601.686247883
31,74,70,4,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Kapuk,7,2021,4894601.686247883,9789203.372495767
31,74,70,5,2018,kelompok_pertokoan,6,3174,Jakarta Barat,Cengkareng Timur,7,2021,4894601.686247883,29367610.1174873
31,74,70,6,2018,kelompok_pertokoan,3,3174,Jakarta Barat,Cengkareng Barat,7,2021,4894601.686247883,14683805.05874365
31,74,80,1,2018,kelompok_pertokoan,4,3174,Jakarta Barat,Semanan,7,2021,4894601.686247883,19578406.744991533
31,74,80,2,2018,kelompok_pertokoan,8,3174,Jakarta Barat,Kalideres,7,2021,4894601.686247883,39156813.48998307
31,74,80,3,2018,kelompok_pertokoan,12,3174,Jakarta Barat,Pegadungan,7,2021,4894601.686247883,58735220.2349746
31,74,80,4,2018,kelompok_pertokoan,4,3174,Jakarta Barat,Tegal Alur,7,2021,4894601.686247883,19578406.744991533
31,74,80,5,2018,kelompok_pertokoan,3,3174,Jakarta Barat,Kamal,7,2021,4894601.686247883,14683805.05874365
31,75,10,1,2018,kelompok_pertokoan,10,3175,Jakarta Utara,Kamal Muara,7,2021,4686144.122090688,46861441.22090688
31,75,10,2,2018,kelompok_pertokoan,16,3175,Jakarta Utara,Kapuk Muara,7,2021,4686144.122090688,74978305.95345101
31,75,10,3,2018,kelompok_pertokoan,15,3175,Jakarta Utara,Pejagalan,7,2021,4686144.122090688,70292161.83136033
31,75,10,4,2018,kelompok_pertokoan,7,3175,Jakarta Utara,Penjaringan,7,2021,4686144.122090688,32803008.854634814
31,75,10,5,2018,kelompok_pertokoan,9,3175,Jakarta Utara,Pluit,7,2021,4686144.122090688,42175297.09881619
31,75,20,1,2018,kelompok_pertokoan,5,3175,Jakarta Utara,Pademangan Barat,7,2021,4686144.122090688,23430720.61045344
31,75,20,2,2018,kelompok_pertokoan,2,3175,Jakarta Utara,Pademangan Timur,7,2021,4686144.122090688,9372288.244181376
31,75,20,3,2018,kelompok_pertokoan,16,3175,Jakarta Utara,Ancol,7,2021,4686144.122090688,74978305.95345101
31,75,30,1,2018,kelompok_pertokoan,10,3175,Jakarta Utara,Sunter Agung,7,2021,4686144.122090688,46861441.22090688
31,75,30,2,2018,kelompok_pertokoan,8,3175,Jakarta Utara,Sunter Jaya,7,2021,4686144.122090688,37489152.976725504
31,75,30,3,2018,kelompok_pertokoan,7,3175,Jakarta Utara,Papango,7,2021,4686144.122090688,32803008.854634814
31,75,30,4,2018,kelompok_pertokoan,0,3175,Jakarta Utara,Warakas,7,2021,4686144.122090688,0.0
31,75,30,5,2018,kelompok_pertokoan,0,3175,Jakarta Utara,Sungai Bambu,7,2021,4686144.122090688,0.0
31,75,30,6,2018,kelompok_pertokoan,1,3175,Jakarta Utara,Kebon Bawang,7,2021,4686144.122090688,4686144.122090688
31,75,30,7,2018,kelompok_pertokoan,0,3175,Jakarta Utara,Tanjung Priuk,7,2021,4686144.122090688,0.0
31,75,40,1,2018,kelompok_pertokoan,1,3175,Jakarta Utara,Rawabadak Selatan,7,2021,4686144.122090688,4686144.122090688
31,75,40,2,2018,kelompok_pertokoan,0,3175,Jakarta Utara,Tugu Selatan,7,2021,4686144.122090688,0.0
31,75,40,3,2018,kelompok_pertokoan,2,3175,Jakarta Utara,Tugu Utara,7,2021,4686144.122090688,9372288.244181376
31,75,40,4,2018,kelompok_pertokoan,2,3175,Jakarta Utara,Lagoa,7,2021,4686144.122090688,9372288.244181376
31,75,40,5,2018,kelompok_pertokoan,1,3175,Jakarta Utara,Rawabadak Utara,7,2021,4686144.122090688,4686144.122090688
31,75,40,6,2018,kelompok_pertokoan,2,3175,Jakarta Utara,Koja,7,2021,4686144.122090688,9372288.244181376
31,75,50,1,2018,kelompok_pertokoan,7,3175,Jakarta Utara,Kelapa Gading Barat,7,2021,4686144.122090688,32803008.854634814
31,75,50,2,2018,kelompok_pertokoan,4,3175,Jakarta Utara,Kelapa Gading Timur,7,2021,4686144.122090688,18744576.488362752
31,75,50,3,2018,kelompok_pertokoan,3,3175,Jakarta Utara,Pegangsaan Dua,7,2021,4686144.122090688,14058432.366272064
31,75,60,1,2018,kelompok_pertokoan,2,3175,Jakarta Utara,Suka Pura,7,2021,4686144.122090688,9372288.244181376
31,75,60,2,2018,kelompok_pertokoan,1,3175,Jakarta Utara,Rorotan,7,2021,4686144.122090688,4686144.122090688
31,75,60,3,2018,kelompok_pertokoan,0,3175,Jakarta Utara,Marunda,7,2021,4686144.122090688,0.0
31,75,60,4,2018,kelompok_pertokoan,1,3175,Jakarta Utara,Cilincing,7,2021,4686144.122090688,4686144.122090688
31,75,60,5,2018,kelompok_pertokoan,0,3175,Jakarta Utara,Semper Timur,7,2021,4686144.122090688,0.0
31,75,60,6,2018,kelompok_pertokoan,1,3175,Jakarta Utara,Semper Barat,7,2021,4686144.122090688,4686144.122090688
31,75,60,7,2018,kelompok_pertokoan,2,3175,Jakarta Utara,Kali Baru,7,2021,4686144.122090688,9372288.244181376
31,1,10,1,2018,pasar_permanen,0,3101,Kepulauan Seribu,Pulau Tidung,7,2021,2555666.8574699485,0.0
31,1,10,2,2018,pasar_permanen,0,3101,Kepulauan Seribu,Pulau Pari,7,2021,2555666.8574699485,0.0
31,1,10,3,2018,pasar_permanen,0,3101,Kepulauan Seribu,Pulau Untung Jawa,7,2021,2555666.8574699485,0.0
31,1,20,1,2018,pasar_permanen,0,3101,Kepulauan Seribu,Pulau Panggang,7,2021,2555666.8574699485,0.0
31,1,20,2,2018,pasar_permanen,0,3101,Kepulauan Seribu,Pulau Kelapa,7,2021,2555666.8574699485,0.0
31,1,20,3,2018,pasar_permanen,0,3101,Kepulauan Seribu,Pulau Harapan,7,2021,2555666.8574699485,0.0
31,71,10,1,2018,pasar_permanen,1,3171,Jakarta Selatan,Cipedak,7,2021,3053401.765908399,3053401.765908399
31,71,10,2,2018,pasar_permanen,0,3171,Jakarta Selatan,Srengseng Sawah,7,2021,3053401.765908399,0.0
31,71,10,3,2018,pasar_permanen,0,3171,Jakarta Selatan,Ciganjur,7,2021,3053401.765908399,0.0
31,71,10,4,2018,pasar_permanen,1,3171,Jakarta Selatan,Jagakarsa,7,2021,3053401.765908399,3053401.765908399
31,71,10,5,2018,pasar_permanen,0,3171,Jakarta Selatan,Lenteng Agung,7,2021,3053401.765908399,0.0
31,71,10,6,2018,pasar_permanen,0,3171,Jakarta Selatan,Tanjung Barat,7,2021,3053401.765908399,0.0
31,71,20,1,2018,pasar_permanen,0,3171,Jakarta Selatan,Cilandak Timur,7,2021,3053401.765908399,0.0
31,71,20,2,2018,pasar_permanen,0,3171,Jakarta Selatan,Ragunan,7,2021,3053401.765908399,0.0
31,71,20,3,2018,pasar_permanen,0,3171,Jakarta Selatan,Kebagusan,7,2021,3053401.765908399,0.0
31,71,20,4,2018,pasar_permanen,1,3171,Jakarta Selatan,Pasar Minggu,7,2021,3053401.765908399,3053401.765908399
31,71,20,5,2018,pasar_permanen,0,3171,Jakarta Selatan,Jati Padang,7,2021,3053401.765908399,0.0
31,71,20,6,2018,pasar_permanen,0,3171,Jakarta Selatan,Pejaten Barat,7,2021,3053401.765908399,0.0
31,71,20,7,2018,pasar_permanen,0,3171,Jakarta Selatan,Pejaten Timur,7,2021,3053401.765908399,0.0
31,71,30,1,2018,pasar_permanen,0,3171,Jakarta Selatan,Lebak Bulus,7,2021,3053401.765908399,0.0
31,71,30,2,2018,pasar_permanen,1,3171,Jakarta Selatan,Pondok Labu,7,2021,3053401.765908399,3053401.765908399
31,71,30,3,2018,pasar_permanen,2,3171,Jakarta Selatan,Cilandak Barat,7,2021,3053401.765908399,6106803.531816798
31,71,30,4,2018,pasar_permanen,1,3171,Jakarta Selatan,Gandaria Selatan,7,2021,3053401.765908399,3053401.765908399
31,71,30,5,2018,pasar_permanen,0,3171,Jakarta Selatan,Cipete Selatan,7,2021,3053401.765908399,0.0
31,71,40,1,2018,pasar_permanen,0,3171,Jakarta Selatan,Bintaro,7,2021,3053401.765908399,0.0
31,71,40,2,2018,pasar_permanen,2,3171,Jakarta Selatan,Pesanggrahan,7,2021,3053401.765908399,6106803.531816798
31,71,40,3,2018,pasar_permanen,0,3171,Jakarta Selatan,Ulujami,7,2021,3053401.765908399,0.0
31,71,40,4,2018,pasar_permanen,0,3171,Jakarta Selatan,Petukangan Selatan,7,2021,3053401.765908399,0.0
31,71,40,5,2018,pasar_permanen,0,3171,Jakarta Selatan,Petukangan Utara,7,2021,3053401.765908399,0.0
31,71,50,1,2018,pasar_permanen,1,3171,Jakarta Selatan,Pondok Pinang,7,2021,3053401.765908399,3053401.765908399
31,71,50,2,2018,pasar_permanen,0,3171,Jakarta Selatan,Kebayoran Lama Selatan,7,2021,3053401.765908399,0.0
31,71,50,3,2018,pasar_permanen,1,3171,Jakarta Selatan,Kebayoran Lama Utara,7,2021,3053401.765908399,3053401.765908399
31,71,50,4,2018,pasar_permanen,1,3171,Jakarta Selatan,Cipulir,7,2021,3053401.765908399,3053401.765908399
31,71,50,5,2018,pasar_permanen,1,3171,Jakarta Selatan,Grogol Selatan,7,2021,3053401.765908399,3053401.765908399
31,71,50,6,2018,pasar_permanen,0,3171,Jakarta Selatan,Grogol Utara,7,2021,3053401.765908399,0.0
31,71,60,1,2018,pasar_permanen,1,3171,Jakarta Selatan,Gandaria Utara,7,2021,3053401.765908399,3053401.765908399
31,71,60,2,2018,pasar_permanen,1,3171,Jakarta Selatan,Cipete Utara,7,2021,3053401.765908399,3053401.765908399
31,71,60,3,2018,pasar_permanen,1,3171,Jakarta Selatan,Pulo,7,2021,3053401.765908399,3053401.765908399
31,71,60,4,2018,pasar_permanen,1,3171,Jakarta Selatan,Petogogan,7,2021,3053401.765908399,3053401.765908399
31,71,60,5,2018,pasar_permanen,1,3171,Jakarta Selatan,Melawai,7,2021,3053401.765908399,3053401.765908399
31,71,60,6,2018,pasar_permanen,0,3171,Jakarta Selatan,Kramat Pela,7,2021,3053401.765908399,0.0
31,71,60,7,2018,pasar_permanen,1,3171,Jakarta Selatan,Gunung,7,2021,3053401.765908399,3053401.765908399
31,71,60,8,2018,pasar_permanen,0,3171,Jakarta Selatan,Selong,7,2021,3053401.765908399,0.0
31,71,60,9,2018,pasar_permanen,0,3171,Jakarta Selatan,Rawa Barat,7,2021,3053401.765908399,0.0
31,71,60,10,2018,pasar_permanen,0,3171,Jakarta Selatan,Senayan,7,2021,3053401.765908399,0.0
31,71,70,1,2018,pasar_permanen,1,3171,Jakarta Selatan,Bangka,7,2021,3053401.765908399,3053401.765908399
31,71,70,2,2018,pasar_permanen,0,3171,Jakarta Selatan,Pela Mampang,7,2021,3053401.765908399,0.0
31,71,70,3,2018,pasar_permanen,0,3171,Jakarta Selatan,Tegal Parang,7,2021,3053401.765908399,0.0
31,71,70,4,2018,pasar_permanen,1,3171,Jakarta Selatan,Mampang Prapatan,7,2021,3053401.765908399,3053401.765908399
31,71,70,5,2018,pasar_permanen,0,3171,Jakarta Selatan,Kuningan Barat,7,2021,3053401.765908399,0.0
31,71,80,1,2018,pasar_permanen,0,3171,Jakarta Selatan,Kalibata,7,2021,3053401.765908399,0.0
31,71,80,2,2018,pasar_permanen,0,3171,Jakarta Selatan,Rawajati,7,2021,3053401.765908399,0.0
31,71,80,3,2018,pasar_permanen,0,3171,Jakarta Selatan,Duren Tiga,7,2021,3053401.765908399,0.0
31,71,80,4,2018,pasar_permanen,0,3171,Jakarta Selatan,Pancoran,7,2021,3053401.765908399,0.0
31,71,80,5,2018,pasar_permanen,0,3171,Jakarta Selatan,Pengadegan,7,2021,3053401.765908399,0.0
31,71,80,6,2018,pasar_permanen,0,3171,Jakarta Selatan,Cikoko,7,2021,3053401.765908399,0.0
31,71,90,1,2018,pasar_permanen,0,3171,Jakarta Selatan,Menteng Dalam,7,2021,3053401.765908399,0.0
31,71,90,2,2018,pasar_permanen,1,3171,Jakarta Selatan,Tebet Barat,7,2021,3053401.765908399,3053401.765908399
31,71,90,3,2018,pasar_permanen,1,3171,Jakarta Selatan,Tebet Timur,7,2021,3053401.765908399,3053401.765908399
31,71,90,4,2018,pasar_permanen,0,3171,Jakarta Selatan,Kebon Baru,7,2021,3053401.765908399,0.0
31,71,90,5,2018,pasar_permanen,1,3171,Jakarta Selatan,Bukit Duri,7,2021,3053401.765908399,3053401.765908399
31,71,90,6,2018,pasar_permanen,0,3171,Jakarta Selatan,Manggarai Selatan,7,2021,3053401.765908399,0.0
31,71,90,7,2018,pasar_permanen,0,3171,Jakarta Selatan,Manggarai,7,2021,3053401.765908399,0.0
31,71,100,1,2018,pasar_permanen,0,3171,Jakarta Selatan,Karet Semanggi,7,2021,3053401.765908399,0.0
31,71,100,2,2018,pasar_permanen,0,3171,Jakarta Selatan,Kuningan Timur,7,2021,3053401.765908399,0.0
31,71,100,3,2018,pasar_permanen,1,3171,Jakarta Selatan,Karet Kuningan,7,2021,3053401.765908399,3053401.765908399
31,71,100,4,2018,pasar_permanen,1,3171,Jakarta Selatan,Karet,7,2021,3053401.765908399,3053401.765908399
31,71,100,5,2018,pasar_permanen,2,3171,Jakarta Selatan,Menteng Atas,7,2021,3053401.765908399,6106803.531816798
31,71,100,6,2018,pasar_permanen,2,3171,Jakarta Selatan,Pasar Manggis,7,2021,3053401.765908399,6106803.531816798
31,71,100,7,2018,pasar_permanen,0,3171,Jakarta Selatan,Guntur,7,2021,3053401.765908399,0.0
31,71,100,8,2018,pasar_permanen,0,3171,Jakarta Selatan,Setia Budi,7,2021,3053401.765908399,0.0
31,72,10,1,2018,pasar_permanen,0,3172,Jakarta Timur,Pekayon,7,2021,3322717.210475475,0.0
31,72,10,2,2018,pasar_permanen,0,3172,Jakarta Timur,Kalisari,7,2021,3322717.210475475,0.0
31,72,10,3,2018,pasar_permanen,0,3172,Jakarta Timur,Baru,7,2021,3322717.210475475,0.0
31,72,10,4,2018,pasar_permanen,0,3172,Jakarta Timur,Cijantung,7,2021,3322717.210475475,0.0
31,72,10,5,2018,pasar_permanen,1,3172,Jakarta Timur,Gedong,7,2021,3322717.210475475,3322717.210475475
31,72,20,1,2018,pasar_permanen,1,3172,Jakarta Timur,Cibubur,7,2021,3322717.210475475,3322717.210475475
31,72,20,2,2018,pasar_permanen,0,3172,Jakarta Timur,Kelapa Dua Wetan,7,2021,3322717.210475475,0.0
31,72,20,3,2018,pasar_permanen,1,3172,Jakarta Timur,Ciracas,7,2021,3322717.210475475,3322717.210475475
31,72,20,4,2018,pasar_permanen,0,3172,Jakarta Timur,Susukan,7,2021,3322717.210475475,0.0
31,72,20,5,2018,pasar_permanen,0,3172,Jakarta Timur,Rambutan,7,2021,3322717.210475475,0.0
31,72,30,1,2018,pasar_permanen,0,3172,Jakarta Timur,Pondok Ranggon,7,2021,3322717.210475475,0.0
31,72,30,2,2018,pasar_permanen,0,3172,Jakarta Timur,Cilangkap,7,2021,3322717.210475475,0.0
31,72,30,3,2018,pasar_permanen,1,3172,Jakarta Timur,Munjul,7,2021,3322717.210475475,3322717.210475475
31,72,30,4,2018,pasar_permanen,0,3172,Jakarta Timur,Cipayung,7,2021,3322717.210475475,0.0
31,72,30,5,2018,pasar_permanen,0,3172,Jakarta Timur,Setu,7,2021,3322717.210475475,0.0
31,72,30,6,2018,pasar_permanen,0,3172,Jakarta Timur,Bambu Apus,7,2021,3322717.210475475,0.0
31,72,30,7,2018,pasar_permanen,0,3172,Jakarta Timur,Ceger,7,2021,3322717.210475475,0.0
31,72,30,8,2018,pasar_permanen,1,3172,Jakarta Timur,Lubang Buaya,7,2021,3322717.210475475,3322717.210475475
31,72,40,1,2018,pasar_permanen,0,3172,Jakarta Timur,Pinang Ranti,7,2021,3322717.210475475,0.0
31,72,40,2,2018,pasar_permanen,1,3172,Jakarta Timur,Makasar,7,2021,3322717.210475475,3322717.210475475
31,72,40,3,2018,pasar_permanen,0,3172,Jakarta Timur,Kebon Pala,7,2021,3322717.210475475,0.0
31,72,40,4,2018,pasar_permanen,1,3172,Jakarta Timur,Halim Perdana Kusumah,7,2021,3322717.210475475,3322717.210475475
31,72,40,5,2018,pasar_permanen,0,3172,Jakarta Timur,Cipinang Melayu,7,2021,3322717.210475475,0.0
31,72,50,1,2018,pasar_permanen,0,3172,Jakarta Timur,Bale Kambang,7,2021,3322717.210475475,0.0
31,72,50,2,2018,pasar_permanen,0,3172,Jakarta Timur,Batu Ampar,7,2021,3322717.210475475,0.0
31,72,50,3,2018,pasar_permanen,1,3172,Jakarta Timur,Tengah,7,2021,3322717.210475475,3322717.210475475
31,72,50,4,2018,pasar_permanen,0,3172,Jakarta Timur,Dukuh,7,2021,3322717.210475475,0.0
31,72,50,5,2018,pasar_permanen,1,3172,Jakarta Timur,Kramat Jati,7,2021,3322717.210475475,3322717.210475475
31,72,50,6,2018,pasar_permanen,1,3172,Jakarta Timur,Cililitan,7,2021,3322717.210475475,3322717.210475475
31,72,50,7,2018,pasar_permanen,0,3172,Jakarta Timur,Cawang,7,2021,3322717.210475475,0.0
31,72,60,1,2018,pasar_permanen,0,3172,Jakarta Timur,Bidara Cina,7,2021,3322717.210475475,0.0
31,72,60,2,2018,pasar_permanen,3,3172,Jakarta Timur,Cipinang Cempedak,7,2021,3322717.210475475,9968151.631426426
31,72,60,3,2018,pasar_permanen,1,3172,Jakarta Timur,Cipinang Besar Selatan,7,2021,3322717.210475475,3322717.210475475
31,72,60,4,2018,pasar_permanen,1,3172,Jakarta Timur,Cipinang Muara,7,2021,3322717.210475475,3322717.210475475
31,72,60,5,2018,pasar_permanen,0,3172,Jakarta Timur,Cipinang Besar Utara,7,2021,3322717.210475475,0.0
31,72,60,6,2018,pasar_permanen,1,3172,Jakarta Timur,Rawa Bunga,7,2021,3322717.210475475,3322717.210475475
31,72,60,7,2018,pasar_permanen,1,3172,Jakarta Timur,Bali Mester,7,2021,3322717.210475475,3322717.210475475
31,72,60,8,2018,pasar_permanen,0,3172,Jakarta Timur,Kampung Melayu,7,2021,3322717.210475475,0.0
31,72,70,1,2018,pasar_permanen,1,3172,Jakarta Timur,Pondok Bambu,7,2021,3322717.210475475,3322717.210475475
31,72,70,2,2018,pasar_permanen,1,3172,Jakarta Timur,Duren Sawit,7,2021,3322717.210475475,3322717.210475475
31,72,70,3,2018,pasar_permanen,0,3172,Jakarta Timur,Pondok Kelapa,7,2021,3322717.210475475,0.0
31,72,70,4,2018,pasar_permanen,0,3172,Jakarta Timur,Pondok Kopi,7,2021,3322717.210475475,0.0
31,72,70,5,2018,pasar_permanen,0,3172,Jakarta Timur,Malaka Jaya,7,2021,3322717.210475475,0.0
31,72,70,6,2018,pasar_permanen,1,3172,Jakarta Timur,Malaka Sari,7,2021,3322717.210475475,3322717.210475475
31,72,70,7,2018,pasar_permanen,2,3172,Jakarta Timur,Klender,7,2021,3322717.210475475,6645434.42095095
31,72,80,1,2018,pasar_permanen,1,3172,Jakarta Timur,Jatinegara,7,2021,3322717.210475475,3322717.210475475
31,72,80,2,2018,pasar_permanen,1,3172,Jakarta Timur,Penggilingan,7,2021,3322717.210475475,3322717.210475475
31,72,80,3,2018,pasar_permanen,0,3172,Jakarta Timur,Pulo Gebang,7,2021,3322717.210475475,0.0
31,72,80,4,2018,pasar_permanen,1,3172,Jakarta Timur,Ujung Menteng,7,2021,3322717.210475475,3322717.210475475
31,72,80,5,2018,pasar_permanen,1,3172,Jakarta Timur,Cakung Timur,7,2021,3322717.210475475,3322717.210475475
31,72,80,6,2018,pasar_permanen,1,3172,Jakarta Timur,Cakung Barat,7,2021,3322717.210475475,3322717.210475475
31,72,80,7,2018,pasar_permanen,0,3172,Jakarta Timur,Rawa Terate,7,2021,3322717.210475475,0.0
31,72,90,1,2018,pasar_permanen,1,3172,Jakarta Timur,Pisangan Timur,7,2021,3322717.210475475,3322717.210475475
31,72,90,2,2018,pasar_permanen,1,3172,Jakarta Timur,Cipinang,7,2021,3322717.210475475,3322717.210475475
31,72,90,3,2018,pasar_permanen,1,3172,Jakarta Timur,Jatinegara Kaum,7,2021,3322717.210475475,3322717.210475475
31,72,90,4,2018,pasar_permanen,1,3172,Jakarta Timur,Jati,7,2021,3322717.210475475,3322717.210475475
31,72,90,5,2018,pasar_permanen,3,3172,Jakarta Timur,Rawamangun,7,2021,3322717.210475475,9968151.631426426
31,72,90,6,2018,pasar_permanen,1,3172,Jakarta Timur,Kayu Putih,7,2021,3322717.210475475,3322717.210475475
31,72,90,7,2018,pasar_permanen,1,3172,Jakarta Timur,Pulo Gadung,7,2021,3322717.210475475,3322717.210475475
31,72,100,1,2018,pasar_permanen,0,3172,Jakarta Timur,Kebon Manggis,7,2021,3322717.210475475,0.0
31,72,100,2,2018,pasar_permanen,2,3172,Jakarta Timur,Pal Meriem,7,2021,3322717.210475475,6645434.42095095
31,72,100,3,2018,pasar_permanen,1,3172,Jakarta Timur,Pisangan Baru,7,2021,3322717.210475475,3322717.210475475
31,72,100,4,2018,pasar_permanen,0,3172,Jakarta Timur,Kayu Manis,7,2021,3322717.210475475,0.0
31,72,100,5,2018,pasar_permanen,0,3172,Jakarta Timur,Utan Kayu Selatan,7,2021,3322717.210475475,0.0
31,72,100,6,2018,pasar_permanen,0,3172,Jakarta Timur,Utan Kayu Utara,7,2021,3322717.210475475,0.0
31,73,10,1,2018,pasar_permanen,2,3173,Jakarta Pusat,Gelora,7,2021,4508459.2553215055,9016918.510643011
31,73,10,2,2018,pasar_permanen,1,3173,Jakarta Pusat,Bendungan Hilir,7,2021,4508459.2553215055,4508459.2553215055
31,73,10,3,2018,pasar_permanen,0,3173,Jakarta Pusat,Karet Tengsin,7,2021,4508459.2553215055,0.0
31,73,10,4,2018,pasar_permanen,1,3173,Jakarta Pusat,Kebon Melati,7,2021,4508459.2553215055,4508459.2553215055
31,73,10,5,2018,pasar_permanen,0,3173,Jakarta Pusat,Petamburan,7,2021,4508459.2553215055,0.0
31,73,10,6,2018,pasar_permanen,0,3173,Jakarta Pusat,Kebon Kacang,7,2021,4508459.2553215055,0.0
31,73,10,7,2018,pasar_permanen,0,3173,Jakarta Pusat,Kampung Bali,7,2021,4508459.2553215055,0.0
31,73,20,1,2018,pasar_permanen,1,3173,Jakarta Pusat,Menteng,7,2021,4508459.2553215055,4508459.2553215055
31,73,20,2,2018,pasar_permanen,1,3173,Jakarta Pusat,Pegangsaan,7,2021,4508459.2553215055,4508459.2553215055
31,73,20,3,2018,pasar_permanen,0,3173,Jakarta Pusat,Cikini,7,2021,4508459.2553215055,0.0
31,73,20,4,2018,pasar_permanen,0,3173,Jakarta Pusat,Gondangdia,7,2021,4508459.2553215055,0.0
31,73,20,5,2018,pasar_permanen,1,3173,Jakarta Pusat,Kebon Sirih,7,2021,4508459.2553215055,4508459.2553215055
31,73,30,1,2018,pasar_permanen,0,3173,Jakarta Pusat,Kenari,7,2021,4508459.2553215055,0.0
31,73,30,2,2018,pasar_permanen,1,3173,Jakarta Pusat,Paseban,7,2021,4508459.2553215055,4508459.2553215055
31,73,30,3,2018,pasar_permanen,0,3173,Jakarta Pusat,Kramat,7,2021,4508459.2553215055,0.0
31,73,30,4,2018,pasar_permanen,1,3173,Jakarta Pusat,Kwitang,7,2021,4508459.2553215055,4508459.2553215055
31,73,30,5,2018,pasar_permanen,1,3173,Jakarta Pusat,Senen,7,2021,4508459.2553215055,4508459.2553215055
31,73,30,6,2018,pasar_permanen,0,3173,Jakarta Pusat,Bungur,7,2021,4508459.2553215055,0.0
31,73,40,1,2018,pasar_permanen,1,3173,Jakarta Pusat,Johar Baru,7,2021,4508459.2553215055,4508459.2553215055
31,73,40,2,2018,pasar_permanen,1,3173,Jakarta Pusat,Kampung Rawa,7,2021,4508459.2553215055,4508459.2553215055
31,73,40,3,2018,pasar_permanen,1,3173,Jakarta Pusat,Tanah Tinggi,7,2021,4508459.2553215055,4508459.2553215055
31,73,40,4,2018,pasar_permanen,1,3173,Jakarta Pusat,Galur,7,2021,4508459.2553215055,4508459.2553215055
